"","Barack ObamaDemocratic","","","Mitt RomneyRepublican","","","Gary JohnsonLibertarian","","","Jill SteinGreen","","","Others","","","Margin","","Total",""
"State/District","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","EV","#","%","#",""
"","","","","","","","","","","","","","","","","","","",""
"NE-2 https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/23px-Flag_of_Nebraska.svg.png","121,889","45.70%","–","140,976","52.85%","1","3,393","1.3%","–","–","–","–","469","0.2%","–","-19,087","-7.15%","266,727","NE2"
"NE-3 https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Flag_of_Nebraska.svg/23px-Flag_of_Nebraska.svg.png","72,110","27.82%","–","182,067","70.23%","1","3,869","1.5%","–","–","–","–","1,177","0.5%","–","−109,957","−42.41%","259,223","NE3"
"Nevada https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Flag_of_Nevada.svg/23px-Flag_of_Nevada.svg.png","531,373","52.36%","6","463,567","45.68%","–","10,968","1.1%","–","–","–","–","9,010","0.9%","–","67,806","6.68%","1,014,918","NV"
"New Hampshire https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_New_Hampshire.svg/23px-Flag_of_New_Hampshire.svg.png","369,561","51.98%","4","329,918","46.40%","–","8,212","1.2%","–","324","0.1%","–","2,957","0.4%","–","39,643","5.58%","710,972","NH"
"New Jersey[120] https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_New_Jersey.svg/23px-Flag_of_New_Jersey.svg.png","2,125,101","58.38%","14","1,477,568","40.59%","–","21,045","0.6%","–","9,888","0.3%","–","6,690","0.2%","–","647,533","17.79%","3,640,292","NJ"
"New Mexico https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_New_Mexico.svg/23px-Flag_of_New_Mexico.svg.png","415,335","52.99%","5","335,788","42.84%","–","27,788","3.6%","–","2,691","0.3%","–","2,156","0.3%","–","79,547","10.15%","783,758","NM"
"New York[121] https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_New_York.svg/23px-Flag_of_New_York.svg.png","4,485,741","63.35%","29","2,490,431","35.17%","–","47,256","0.7%","–","39,982","0.6%","–","17,749","0.3%","–","1,995,310","28.18%","7,081,159","NY"
"North Carolina https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Flag_of_North_Carolina.svg/23px-Flag_of_North_Carolina.svg.png","2,178,391","48.35%","–","2,270,395","50.39%","15","44,515","1.0%","–","–","–","–","12,071","0.3%","–","−92,004","−2.04%","4,505,372","NC"
"North Dakota https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Flag_of_North_Dakota.svg/20px-Flag_of_North_Dakota.svg.png","124,827","38.70%","–","188,163","58.32%","3","5,231","1.6%","–","1,361","0.4%","–","3,045","0.9%","–","−63,336","−19.62%","322,627","ND"
"Ohio[122] https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Flag_of_Ohio.svg/25px-Flag_of_Ohio.svg.png","2,827,709","50.67%","18","2,661,437","47.69%","–","49,493","0.9%","–","18,573","0.3%","–","23,635","0.4%","–","166,272","2.98%","5,580,847","OH"
